zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
http://www.zillow.com/homes/for_sale//homedetails/461-W-200-S-Provo-UT-84601/11887844_zpid/,11887844,UT,2.0,House For Sale,40.23066,-111.666771,250000,4.0,Provo,461 W 200 S,84601,2025.0,NA
http://www.zillow.com/homes/for_sale//homedetails/233-N-2250-W-Provo-UT-84601/11944351_zpid/,11944351,UT,2.5,House For Sale,40.236444,-111.697856,295000,5.0,Provo,233 N 2250 W,84601,3020.0,NA
http://www.zillow.com/homes/for_sale//homedetails/428-S-Tri-Terra-W-Ln-Provo-UT-84601/2092646806_zpid/,2092646806,UT,3.0,New Construction,40.2331,-111.6841,210900,2.0,Provo,428 S Tri Terra W Ln,84601,1307.0,NA
"http://www.zillow.com/homes/for_sale/2097501292_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2097501292,UT,2.5,New Construction,40.2125,-111.6693,342990,3.0,Provo,570 W 1578 S # FHA2ID,84601,3000.0,NA
"http://www.zillow.com/homes/for_sale/2098874112_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874112,UT,2.0,New Construction,40.2125,-111.6693,331990,3.0,Provo,570 W 1578 S # DBZDGW,84601,3495.0,NA
"http://www.zillow.com/homes/for_sale/2098874109_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874109,UT,2.5,New Construction,40.2125,-111.6693,334990,3.0,Provo,570 W 1578 S # JWCMTS,84601,2782.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1485-Arthur-Dr-Provo-UT-84601/11914064_zpid/,11914064,UT,2.0,Condo For Sale,40.243213,-111.684566,95000,2.0,Provo,1485 Arthur Dr,84601,1100.0,NA
http://www.zillow.com/homes/for_sale//homedetails/432-S-Tri-Terra-W-Ln-Provo-UT-84601/2092744424_zpid/,2092744424,UT,2.0,New Construction,40.2331,-111.6841,184700,2.0,Provo,432 S Tri Terra W Ln,84601,1065.0,NA
http://www.zillow.com/homes/for_sale//homedetails/393-W-300-S-Provo-UT-84601/11887703_zpid/,11887703,UT,4.0,House For Sale,40.229471,-111.665408,219900,4.0,Provo,393 W 300 S,84601,1395.0,NA
http://www.zillow.com/homes/for_sale//homedetails/579-W-400-N-Provo-UT-84601/11888399_zpid/,11888399,UT,1.0,House For Sale,40.238854,-111.668826,218500,3.0,Provo,579 W 400 N,84601,1333.0,NA
